type,timestamp,brand,total_public_interactions,favorite_count,hashtags,link_url,media_url,retweet_count,tags,text,tm_url,tweet_url,day_of_week,time
photo,2019-06-21T12:30:00+0000,Miami Heat,347,302,HEATNation 13,,https://pbs.twimg.com/media/D9kP1n9XkAAtxgL.jpg,45,,".@raf_tyler didn't waste any time reaching out to #HEATNation after being drafted #13 overall.  Watch Herro share his ""surreal moment"" exclusively with those attending Thursday night's Draft Party inside @AAarena. https://t.co/vjovdVjOyO",https://app.trackmaven.com/#/workspaces/2788/feed/content/OTE3MDUtMTE2Mzg5ODA2X3R3ZWV0/,https://www.twitter.com/MiamiHEAT/status/1142047012986208258,Friday,12:30:00
photo,2019-06-21T12:15:00+0000,Atlanta Hawks,1377,1220,TrueToAtlanta,,https://pbs.twimg.com/ext_tw_video_thumb/1141930559901523968/pu/img/A_55cQcMQE3vmBv8.jpg,157,,all the vibez.  #TrueToAtlanta x @camreddish https://t.co/HlARKd4o7Z,https://app.trackmaven.com/#/workspaces/2788/feed/content/NTkxNDMtMTE2MzkxODU4X3R3ZWV0/,https://www.twitter.com/ATLHawks/status/1142043236350885890,Friday,12:15:00
photo,2019-06-21T12:15:00+0000,Washington Wizards,405,348,WizDraft DCFamily,,https://pbs.twimg.com/amplify_video_thumb/1141949029590425600/img/BJF3ckI8ppXCZ-Cq.jpg,57,,Head coach Scott Brooks met with members of the media following the selection of Rui Hachimura at No. 9 overall.  #WizDraft | #DCFamily https://t.co/A4d40MqYiT,https://app.trackmaven.com/#/workspaces/2788/feed/content/NzMwNDgtMTE2Mzg4NDcyX3R3ZWV0/,https://www.twitter.com/WashWizards/status/1142043236434759680,Friday,12:15:00
photo,2019-06-21T12:11:53+0000,Orlando Magic,466,416,,,https://pbs.twimg.com/media/D9lZjnxXYAE5jvn.jpg,50,,Chuma   (: @Tomday_art) https://t.co/ZneYAa9ybS,https://app.trackmaven.com/#/workspaces/2788/feed/content/OTE3MTEtMTE2MzkyOTgyX3R3ZWV0/,https://www.twitter.com/OrlandoMagic/status/1142042452464930816,Friday,12:11:53
photo,2019-06-21T12:10:40+0000,Washington Wizards,3758,3442,DCFamily,,https://pbs.twimg.com/media/D9lZRSNXkAANtsv.jpg,316,,"Coming for you, D.C.!   @rui_8mura | #DCFamily https://t.co/eTvAWLe2Ou",https://app.trackmaven.com/#/workspaces/2788/feed/content/NzMwNDgtMTE2Mzg4NDcxX3R3ZWV0/,https://www.twitter.com/WashWizards/status/1142042148185038848,Friday,12:10:40
photo,2019-06-21T12:03:00+0000,Brooklyn Nets,680,574,,,https://pbs.twimg.com/ext_tw_video_thumb/1141946780348801031/pu/img/hD-RR6OB9SU81FTf.jpg,106,,"Morning, Nets fans! About last night:  #[?] We selected Nic Claxton at No. 31 #[?] We traded for the draft rights to No. 56 pick Jaylen Hands  Here's the moment Claxton found out he was a Brooklyn Net  https://t.co/TA4gLZJ0i4",https://app.trackmaven.com/#/workspaces/2788/feed/content/NzE4MjQtMTE2MzkzNDA4X3R3ZWV0/,https://www.twitter.com/BrooklynNets/status/1142040216464580608,Friday,12:03:00
photo,2019-06-21T12:00:01+0000,San Antonio Spurs,0,,NBADraft GoSpursGo,,https://pbs.twimg.com/media/D9k2cIxWsAIQJi_.jpg,,,It was a busy night in Brooklyn!  Go behind-the-scenes with our three picks from the 2019 #NBADraft   @FrostBank | #GoSpursGo https://t.co/ed6HfU9oWB,https://app.trackmaven.com/#/workspaces/2788/feed/content/OTE3MTQtMTE2MzgzMjcwX3R3ZWV0/,https://www.twitter.com/spurs/status/1142039464690294784,Friday,12:00:01
photo,2019-06-21T12:00:01+0000,Washington Wizards,3787,3154,WizDraft DCFamily,,https://pbs.twimg.com/media/D9kKhlpW4AAVXm4.jpg,633,,.@admiralelite15 highlights for your viewing pleasure.  #WizDraft | #DCFamily https://t.co/izkv6IMuk0,https://app.trackmaven.com/#/workspaces/2788/feed/content/NzMwNDgtMTE2MzgzMjY1X3R3ZWV0/,https://www.twitter.com/WashWizards/status/1142039465814310915,Friday,12:00:01
photo,2019-06-21T12:00:01+0000,Memphis Grizzlies,946,838,,,https://pbs.twimg.com/media/D9kBAC2WsAAWXee.jpg,108,,Come out to @FedExForum today from 12-2pm for the first Food Truck Friday of the Summer and stay to welcome @igotgame_12 to Memphis during his introductory press conference! https://t.co/zhlEHXyiAj,https://app.trackmaven.com/#/workspaces/2788/feed/content/OTE3MTYtMTE2Mzk2NjA5X3R3ZWV0/,https://www.twitter.com/memgrizz/status/1142039464266461184,Friday,12:00:01
link,2019-06-21T12:00:00+0000,Cleveland Cavaliers,276,249,CavsDraft,https://t.co/FUv8ZfJn0u,,27,,"""With Dylan - if you had to check a bunch of boxes that fit Coach Beilein's system, he fits them all.""  Hear GM Koby Altman's take on last night's #CavsDraft: https://t.co/FUv8ZfJn0u",https://app.trackmaven.com/#/workspaces/2788/feed/content/OTE3MDMtMTE2MzkzMTM2X3R3ZWV0/,https://www.twitter.com/cavs/status/1142039463343902720,Friday,12:00:00
